Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,6.900000,7.070000,6.890000,7.000000,7.000000,60900
2017-03-02,7.080000,7.330000,6.890000,7.240000,7.240000,1032400
2017-03-03,7.310000,7.490000,7.240000,7.400000,7.400000,133200
2017-03-06,7.460000,7.470000,7.310000,7.420000,7.420000,89100
2017-03-07,7.420000,7.450000,7.200000,7.340000,7.340000,95800
2017-03-08,7.210000,7.290000,6.900000,7.140000,7.140000,145700
2017-03-09,7.140000,7.140000,6.700000,6.810000,6.810000,171600
2017-03-10,6.820000,7.090000,6.800000,6.960000,6.960000,124900
2017-03-13,7.180000,7.200000,6.790000,6.900000,6.900000,120200
2017-03-14,6.870000,6.890000,6.760000,6.800000,6.800000,49500
2017-03-15,6.760000,6.950000,6.600000,6.880000,6.880000,74300
2017-03-16,6.830000,6.970000,6.700000,6.750000,6.750000,102600
2017-03-17,6.890000,6.930000,6.760000,6.930000,6.930000,173700
2017-03-20,6.960000,6.990000,6.870000,6.990000,6.990000,45600
2017-03-21,6.920000,6.950000,6.830000,6.900000,6.900000,54800
2017-03-22,6.840000,7.050000,6.760000,7.050000,7.050000,477000
2017-03-23,7.000000,7.300000,6.990000,7.180000,7.180000,231600
2017-03-24,7.200000,7.280000,7.080000,7.200000,7.200000,273900
2017-03-27,7.240000,7.400000,7.240000,7.370000,7.370000,208500
2017-03-28,7.420000,7.630000,7.400000,7.540000,7.540000,187700
2017-03-29,7.560000,7.600000,7.410000,7.480000,7.480000,219800
2017-03-30,7.480000,7.600000,7.320000,7.460000,7.460000,667200
2017-03-31,7.380000,7.480000,7.290000,7.480000,7.480000,173100
2017-04-03,7.550000,7.830000,7.400000,7.820000,7.820000,741200
2017-04-04,7.850000,8.030000,7.850000,7.970000,7.970000,797600
2017-04-05,8.010000,8.150000,7.990000,8.000000,8.000000,121900
2017-04-06,8.040000,8.150000,7.710000,7.770000,7.770000,112400
2017-04-07,7.710000,8.090000,7.700000,7.750000,7.750000,71600
2017-04-10,7.750000,7.970000,7.520000,7.950000,7.950000,65200
2017-04-11,7.950000,8.140000,7.950000,8.100000,8.100000,74200
2017-04-12,8.100000,8.400000,8.050000,8.310000,8.310000,98000
2017-04-13,8.320000,8.320000,8.000000,8.250000,8.250000,102100
2017-04-17,8.250000,8.430000,8.250000,8.380000,8.380000,194600
